#ind, snr, cost
14.0,0.7963633103,0.5361432642
13.0,0.8146141501,0.5351123846
13.0,0.8436101491,0.5344331711
12.0,0.8767266715,0.5330495703
12.0,0.9089324338,0.5324653971
11.0,0.9384202052,0.5305324805
11.0,0.9602553290,0.5300220087
10.0,0.9859264104,0.5271644785
10.0,0.9956699967,0.5267123102
4.0,0.9997601274,0.5087595852
4.0,1.0084630589,0.4951862772
4.0,1.0151688080,0.4845807952
3.0,1.0210049404,0.4559777996
3.0,1.0314444857,0.4470842578
9.0,1.0335936167,0.4468783314
9.0,1.0370386888,0.4466924174
9.0,1.0423883144,0.4465237389
9.0,1.0485861714,0.4463700110
8.0,1.0557237135,0.4461360141
7.0,1.0688380569,0.4458710711
6.0,1.0814983269,0.4455686414
6.0,1.0937383857,0.4454257343
6.0,1.1050445719,0.4452945080
6.0,1.1156512802,0.4451735953
6.0,1.1250920448,0.4450618343
6.0,1.1331730364,0.4449582310
6.0,1.1400321850,0.4448619300
6.0,1.1443425143,0.4447721912
6.0,1.1454956708,0.4446883709
17.0,1.1462943332,0.4446599886
12.0,1.1468703376,0.4446152770
12.0,1.1485496627,0.4445746461
11.0,1.1500348329,0.4445246299
11.0,1.1527530243,0.4444873899
11.0,1.1539206387,0.4444532676
11.0,1.1611900778,0.4444213180
11.0,1.1687298129,0.4443945218
83.0,1.1692680278,0.4443943059
83.0,1.1707614062,0.4443941021
82.0,1.1726072805,0.4443938721
82.0,1.1744997072,0.4443936797
81.0,1.1755655130,0.4443934350
6.0,1.1759948746,0.4443149710
19.0,1.1762731764,0.4443021256
18.0,1.1768575771,0.4442881231
18.0,1.1776725353,0.4442762080
18.0,1.1782826701,0.4442651538
17.0,1.1794249873,0.4442498292
16.0,1.1802779232,0.4442335297
16.0,1.1816904089,0.4442232063
16.0,1.1825210918,0.4442135791
16.0,1.1847695490,0.4442045802
16.0,1.1870025500,0.4441961504
16.0,1.1881342293,0.4441882373
15.0,1.1891234017,0.4441707737
10.0,1.1899712226,0.4441459027
9.0,1.1961345299,0.4440889767
6.0,1.1975305343,0.4440153754
11.0,1.1984450636,0.4439967270
11.0,1.1996223317,0.4439892547
8.0,1.2003553075,0.4439660117
7.0,1.2048153352,0.4439028449
8.0,1.2056872677,0.4438828709
8.0,1.2059993905,0.4438757491
61.0,1.2061755227,0.4438755900
60.0,1.2063494325,0.4438754206
54.0,1.2064976209,0.4438750892
54.0,1.2069090866,0.4438747768
53.0,1.2075696717,0.4438744232
53.0,1.2083689876,0.4438741290
52.0,1.2090522934,0.4438737527
53.0,1.2097232376,0.4438734922
51.0,1.2102447654,0.4438730914
50.0,1.2103565299,0.4438726641
14.0,1.2104159521,0.4438684741
13.0,1.2105493939,0.4438640033
13.0,1.2107658474,0.4438600513
13.0,1.2111089634,0.4438563179
12.0,1.2115283700,0.4438515230
12.0,1.2120721026,0.4438480357
11.0,1.2126611142,0.4438428890
11.0,1.2133326644,0.4438396235
10.0,1.2139657655,0.4438340862
10.0,1.2146831788,0.4438310215
10.0,1.2152644268,0.4438281456
9.0,1.2159130479,0.4438221663
9.0,1.2164294539,0.4438194562
9.0,1.2165675859,0.4438169036
32.0,1.2165976102,0.4438163602
32.0,1.2166773566,0.4438158479
31.0,1.2168214293,0.4438152676
31.0,1.2170246049,0.4438147858
30.0,1.2172067873,0.4438141652
29.0,1.2173138984,0.4438135048
14.0,1.2173378379,0.4438118023
14.0,1.2173770529,0.4438102095
14.0,1.2174591730,0.4438087163
14.0,1.2175643387,0.4438073136
13.0,1.2177106066,0.4438054950
13.0,1.2178500640,0.4438041726
12.0,1.2180265855,0.4438022318
9.0,1.2182762807,0.4437998117
10.0,1.2185449491,0.4437977385
10.0,1.2186806178,0.4437964850
18.0,1.2187214721,0.4437957809
14.0,1.2187464341,0.4437948836
13.0,1.2187959598,0.4437939238
13.0,1.2188867107,0.4437930796
13.0,1.2189869669,0.4437922848
12.0,1.2190962105,0.4437912612
10.0,1.2191915599,0.4437900866
